StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,Participation in class,"Test scores (Math, Reading, Writing)",Final grade,Internet access at home (Yes/No)
1001,17,1,0,2,19.83372281,7,1,2,0,0,1,0,2.929195592,2,Passive,"95,74,57",C,No
1002,18,0,0,1,15.40875606,0,0,1,0,0,0,0,3.042914833,1,Active,"69,76,76",C,No
1003,15,0,2,3,4.210569769,26,0,2,0,0,0,0,0.112602254,4,Active,"59,88,72",C,No
1004,17,1,0,3,10.02882947,14,0,3,1,0,0,0,2.05421814,3,Moderate,"86,60,85",C,Yes
1005,17,1,0,2,4.672495273,17,1,3,0,0,0,0,1.288061182,4,Moderate,"93,59,79",C,Yes
1006,18,0,0,1,8.191218545,0,0,1,1,0,0,0,3.084183614,1,Active,"96,94,77",B,No
1007,15,0,1,1,15.60168047,10,0,3,0,1,0,0,2.748237415,2,Passive,"52,55,89",D,No
1008,15,1,1,4,15.42449631,22,1,1,1,0,0,0,1.360142712,4,Active,"68,62,77",D,No
1009,17,0,0,0,4.562007558,1,0,2,0,1,0,1,2.89681919,2,Moderate,"60,78,87",C,No
1010,16,1,0,1,18.44446636,0,0,3,1,0,0,0,3.57347421,0,Passive,"82,54,93",C,Yes
1011,17,0,0,1,11.85136366,11,0,1,0,0,0,0,2.147171625,3,Active,"79,91,75",B,No
1012,17,0,0,1,7.598485819,15,0,2,0,0,0,1,1.559594519,4,Active,"62,88,98",B,No
1013,17,0,1,1,10.03871162,21,0,3,1,0,0,0,1.520077815,4,Active,"57,93,91",B,Yes
1014,17,0,1,2,12.10142507,21,0,4,0,1,0,0,1.751580958,4,Passive,"56,83,86",C,Yes
1015,18,1,0,1,11.19781064,9,1,2,0,0,0,0,2.396788117,3,Active,"68,72,90",C,Yes
1016,15,0,0,2,9.728100711,17,1,0,0,1,0,0,1.341520717,4,Moderate,"63,73,81",C,Yes
1017,18,0,3,1,10.09865608,14,0,2,1,1,0,0,2.232175278,3,Moderate,"56,63,77",D,No
1018,18,1,0,0,3.528238209,16,1,2,0,0,0,0,1.384404176,4,Passive,"94,75,71",B,Yes
1019,,0,1,3,16.25465809,29,0,2,1,0,0,1,0.469553323,4,Active,"53,90,50",D,No
1020,17,0,0,1,10.8352064,9,0,2,0,0,1,0,2.395784095,3,Active,"64,72,62",D,Yes
1021,16,1,0,3,2.621597234,2,0,3,0,0,0,1,2.7784113,2,Moderate,"97,74,72",B,No
1022,15,0,0,2,15.32314203,25,0,1,1,0,0,0,0.346894037,4,Active,"96,67,85",B,Yes
1023,16,1,1,0,18.64887957,29,1,1,0,0,0,0,0.312546231,4,Passive,"83,77,68",C,Yes
1024,18,1,3,4,18.94613798,20,0,2,1,0,0,0,,4,Active,"52,81,86",C,No
1025,18,1,0,1,7.380354648,15,0,2,0,0,0,0,1.505155622,4,Active,"51,85,74",C,No
1026,16,1,0,3,2.710337471,5,0,4,0,0,1,0,2.977851918,2,Moderate,"93,63,59",C,Yes
1027,16,0,0,1,10.36799253,2,0,2,0,1,0,0,2.948717672,2,Active,"65,70,78",C,Yes
1028,16,1,0,3,2.252184587,8,0,3,0,0,1,0,2.14520472,3,Passive,"89,66,77",C,No
1029,18,0,0,0,18.67974837,10,0,3,1,0,0,0,2.854803929,2,Passive,"69,70,66",D,No
1030,18,0,0,2,3.671592547,20,0,3,1,0,0,0,1.519441726,4,Moderate,"71,56,58",D,No
1031,15,0,2,2,5.055317199,12,1,0,0,1,0,0,1.72712031,4,Moderate,"77,68,78",C,Yes
1032,15,0,0,3,8.132730538,17,0,4,0,0,0,1,1.847535471,4,Passive,"82,81,100",B,Yes
1033,18,0,0,3,7.663289371,25,0,1,0,1,0,0,0.384616973,4,Passive,"85,65,83",C,Yes
1034,16,0,3,3,15.89325785,21,0,0,1,1,0,0,0.949406098,4,Active,"94,57,54",D,Yes
1035,16,0,0,3,9.126336411,27,1,2,1,1,0,0,1.140959418,4,Active,"81,63,53",D,Yes
1036,15,0,3,1,3.4153652,23,0,1,0,0,0,0,0.26147226,4,Passive,"80,90,94",B,Yes
1037,18,0,0,1,5.34419791,26,1,1,0,0,0,0,0.218284857,4,Passive,"88,58,94",B,Yes
1038,15,0,2,1,10.1822677,21,1,1,0,1,0,0,1.067763551,4,Moderate,"97,82,93",A,Yes
1039,15,1,1,1,2.949078349,3,1,1,1,1,0,0,3.018905858,1,Active,"85,70,81",C,No
1040,17,1,2,1,12.23311351,21,1,3,1,1,0,0,1.526867832,4,Active,"67,57,78",D,No
1041,17,1,3,2,11.31494613,23,1,1,0,0,0,0,1.0582874,4,Active,"53,86,92",C,No
1042,17,0,0,1,14.29404633,7,0,2,0,0,0,0,2.625128098,2,Passive,"84,89,94",B,Yes
1043,16,1,3,2,18.75409231,12,1,4,0,0,0,0,2.808754822,2,Passive,"56,83,81",C,No
1044,18,1,0,1,18.24509122,9,0,2,0,1,0,0,2.888891669,2,Active,"85,56,57",D,No
